Bill of Materials - Spreadsheet ver. (Everything from JLCPCB),,,,,,,,,,,
PCB Assembled Qty: 5,,Est. Total Price: 11.562 (from Devboard tutorial),,,,,,,,,
Designator,Comment,Footprint,,,JLCPCB Part,Part #,Manufacturer,,Qty,Price,Link to JLCPCB page
R6,10K,R_0402_1005Metric,,,,0402WGJ0103TCE,UNI-ROYAL(Uniroyal Elec),,1,0.01,https://jlcpcb.com/partdetail/26274-0402WGJ0103TCE/C25531
"R5, R7",1K,R_0402_1005Metric,,,,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),,2,0.01,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702
"R3, R4",27,R_0402_1005Metric,,,,RC-MT08W270JT,FH (Guangdong Fenghua Advanced Tech) ,,2,0.01,https://jlcpcb.com/partdetail/2358-RCMT08W270JT/C2006
"R1, R2",5.1K,R_0402_1005Metric,,,,0402WGJ0512TCE,UNI-ROYAL(Uniroyal Elec),,2,0.01,https://jlcpcb.com/partdetail/26684-0402WGJ0512TCE/C25941
"C1, C2, C3, C4, C5, C6, C7, C8, C10, C11, C17",0.1uF,C_0402_1005Metric,,,,CL05B104KO5NNNC,Samsung Electro-Mechanics,,11,0.01,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
"C9, C12",1uF,C_0402_1005Metric,,,,CL05A105KP5NNNC,Samsung Electro-Mechanics,,2,0.01,https://jlcpcb.com/partdetail/15107-CL05A105KP5NNNC/C14445
"C15, C16",33pF,C_0402_1005Metric,,,,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech) ,,2,0.01,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562
"C13, C14",10uF,C_0603_1608Metric,,,,CL10A106MQ8NNNC,Samsung Electro-Mechanics,,2,0.01,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691
Crystal_GND24,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,X322512MSB4SI,YXC Crystal Oscillators,,1,0.06,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,TYPE-C-31-M-12,Korean Hroparts Elec,,1,0.17,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948
J2. J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,,,,2.54-1*20P反弯针,BOOMELE(Boom Precision Elec),,2,0.23,https://jlcpcb.com/partdetail/244951-2_54_1_20P/C247921
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,,,2541WR-03P,HanElectricity,,1,0.01,https://jlcpcb.com/partdetail/HanElectricity-2541WR03P/C5383096
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,,,,TS-1088-AR02016,XUNPU,,1,0.04,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,,,RP2040,Raspberry Pi,,1,0.92,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
U2,MCP1700x-330xxTT,SOT-23,,,,MCP1700T-3302E/TT,Microchip Tech,,1,0.39,https://jlcpcb.com/partdetail/JLCPCBAssembly-MCP1700/C9900006637
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,,,W25Q16JVZPIQ,Winbond Elec,,1,0.35,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVZPIQ/C377853
